,Unnamed: 0,title,genre,rating,views,year,duration
309,19301,Early Summer,Comedy,8.0,10499,1951,125
310,19317,Ace in the Hole,Drama,8.1,41824,1951,111
311,19395,The Day the Earth Stood Still,Drama,7.7,89271,1951,92
312,19402,Detective Story,Crime,7.5,10336,1951,103
313,19567,Forbidden Games,Drama,8.0,14037,1952,86
314,19754,A Place in the Sun,Drama,7.7,26552,1951,122
315,19772,Quo Vadis,Drama,7.1,18133,1951,171
316,19814,A Christmas Carol,Drama,8.1,28839,1951,86
317,19861,Strangers on a Train,Crime,7.9,147837,1951,101
318,19863,A Streetcar Named Desire,Drama,7.9,119120,1951,122
319,19891,The Thing from Another World,Horror,7.0,36303,1951,87
320,19958,When Worlds Collide,Action,6.6,10161,1951,83
321,20040,The Bad and the Beautiful,Drama,7.7,17560,1952,118
322,20059,Bend of the River,Action,7.2,10792,1952,91
323,20248,The Greatest Show on Earth,Drama,6.5,17130,1952,152
324,20273,High Noon,Drama,7.9,115384,1952,85
325,20297,Ikiru,Drama,8.3,100530,1952,143
326,20312,Ivanhoe,Action,6.8,11062,1952,106
327,20371,The Lavender Hill Mob,Comedy,7.5,16696,1951,78
328,20377,Limelight,Comedy,8.0,23650,1952,137
329,20405,The Man in the White Suit,Comedy,7.2,11525,1951,85
330,20437,Monkey Business,Comedy,6.9,16383,1952,97
331,20467,The Naked Spur,Drama,7.3,13701,1953,91
332,20553,The Quiet Man,Comedy,7.7,45269,1952,129
333,20618,Singin' in the Rain,Comedy,8.3,279216,1952,103
334,20693,Othello,Drama,7.5,10088,1951,90
335,20707,Umberto D.,Drama,8.1,30259,1952,89
336,20723,Viva Zapata!,Biography,7.2,13328,1952,113
337,20838,The Band Wagon,Comedy,7.4,13465,1953,112
338,20851,The Big Heat,Crime,7.9,32013,1953,89
339,20876,Calamity Jane,Comedy,7.2,11945,1953,101
340,21002,Fear and Desire,Drama,5.3,15021,1952,62
341,21029,From Here to Eternity,Drama,7.6,53696,1953,118
342,21042,Gentlemen Prefer Blondes,Comedy,7.1,46593,1953,91
343,21089,The Hitch-Hiker,Crime,6.9,11556,1953,71
344,21094,Hondo,Drama,7.0,13553,1953,83
345,21099,House of Wax,Horror,7.0,22253,1953,88
346,21101,How to Marry a Millionaire,Comedy,6.8,26379,1953,95
347,21104,I Confess,Crime,7.2,24996,1953,95
348,21122,Invaders from Mars,Horror,6.2,10123,1953,78
349,21125,It Came from Outer Space,Horror,6.5,12563,1953,81
350,21143,Julius Caesar,Drama,7.2,13946,1953,120
351,21206,The Earrings of Madame De...,Drama,7.9,11977,1953,105
352,21284,Niagara,Drama,7.0,21663,1953,92
353,21325,Peter Pan,Adventure,7.3,163382,1953,77
354,21328,Pickup on South Street,Crime,7.6,17469,1953,80
355,21370,The Robe,Drama,6.7,12720,1953,135
356,21372,Roman Holiday,Comedy,8.0,156760,1953,118
357,21389,The Wages of Fear,Adventure,8.1,72600,1953,156
358,21419,Shane,Drama,7.6,47066,1953,118
359,21447,Summer with Monika,Drama,7.5,17443,1953,96
360,21458,Stalag 17,Comedy,7.9,61054,1953,120
361,21501,Beat the Devil,Action,6.4,11242,1953,89
362,21520,Tokyo Story,Drama,8.1,76497,1953,137
363,21551,Ugetsu,Drama,8.1,27873,1953,96
